date,mid,attempted_charges,declined_charges,successful_charges,unique_cycle_attempts,declined_unique_cycle_attempts,successful_unique_cycle_attempts,cycle_1_attempts,cycle_1_success,cycle_1_revenue,cycle_1_decline,renewal_attempts,renewal_success,renewal_decline,renewal_success_rate,successful_offers,item_quantity,successful_customers,gross_product_revenue,net_product_revenue,total_revenue,processed,adjustments,adjustment_rate,refunds,refund_rate,refunded_revenue,refunded_revenue_rate,voids,void_rate,voided_revenue,void_revenue_rate,chargebacks,chargeback_rate,chargeback_revenue,chargeback_revenue_rate,alerts,alert_rate,alert_revenue,alert_revenue_rate,net_revenue,cost_of_revenue,chargeback_fees,chargeback_fees_rate,processing_fees,processing_fees_rate,profit,profit_margin,UniquePlusLLC,BrightAdvantageLLC,DiamondSphereLLC,DiamondsphereLLC,BrightAdvantagellc,ClearPoulseLLC,SpecifiConLLC,PrimeSmartSolutionsLLC,charge_dp1_v3,charge_dp1_v1,cardtype_visa,cardtype_mastercard,dayofweek_monday,dayofweek_sunday,dayofweek_friday,dayofweek_wednesday,dayofweek_saturday,dayofweek_thursday,dayofweek_tuesday,bankissuer_the_bancorp_bank_national_association,bankissuer_wells_fargo_bank_national_association,bankissuer_stride_bank_national_association,bankissuer_credit_one_bank_national_association,bankissuer_other,bankissuer_jpmorgan_chase_bank_na,bankissuer_capital_one_national_association,bankissuer_bank_of_america_national_association,bankissuer_jpmorgan_chase_bank_na_-_debit,bankissuer_citibank_na,shipstate_oh,shipstate_ny,shipstate_az,shipstate_other,shipstate_wi,shipstate_pa,shipstate_il,shipstate_mi,shipstate_ga,shipstate_nc,shipstate_tn,shipstate_fl,shipstate_ca,shipstate_tx,shipstate_in,shipstate_mo,success_charge_ratess
20/05/2025,17,10,7,3,10,7,3,10,3,38.67,7,0,0,0,0,3,3,3,38.67,38.67,38.67,38.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.67,3.92,0,0,3.92,0.01956,34.75,2.8044,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
21/05/2025,17,14,8,6,14,8,6,14,6,77.34,8,0,0,0,0,6,6,6,77.34,77.34,77.34,77.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.34,6.64,0,0,6.64,0.027942857,70.7,5.6088,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429
22/05/2025,17,14,8,6,14,8,6,14,6,77.34,8,0,0,0,0,6,6,6,77.34,77.34,77.34,77.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.34,6.64,0,0,6.64,0.027942857,70.7,5.6088,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429
23/05/2025,17,11,6,5,11,6,5,11,5,64.45,6,0,0,0,0,5,5,5,64.45,64.45,64.45,64.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.45,5.4,0,0,5.4,0.029636364,59.05,4.674,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454545455
24/05/2025,17,11,7,4,11,7,4,11,4,51.56,7,0,0,0,0,4,4,4,51.56,51.56,51.56,51.56,12.89,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909091,12.89,0.090909091,38.67,4.76,0,0,4.76,0.023709091,33.91,2.7392,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.363636364
25/05/2025,17,10,6,4,10,6,4,10,4,51.56,6,0,0,0,0,4,4,4,51.56,51.56,51.56,51.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.56,4.56,0,0,4.56,0.02608,47,3.7392,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
26/05/2025,17,17,11,6,17,11,6,17,6,77.34,11,0,0,0,0,6,6,6,77.34,77.34,77.34,77.34,12.89,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,1,0.058823529,12.89,0.058823529,64.45,7.24,0,0,7.24,0.023011765,57.21,4.6088,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.352941176
27/05/2025,17,18,10,8,18,10,8,18,8,103.12,10,0,0,0,0,8,8,8,103.12,103.12,103.12,103.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.12,8.72,0,0,8.72,0.028977778,94.4,7.4784,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444
28/05/2025,17,9,5,4,9,5,4,9,4,51.56,5,0,0,0,0,4,4,4,51.56,51.56,51.56,51.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.56,4.36,0,0,4.36,0.028977778,47.2,3.7392,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444
29/05/2025,17,8,3,5,8,3,5,8,5,64.45,3,0,0,0,0,5,5,5,64.45,64.45,64.45,64.45,12.89,0.125,1,0.125,12.89,0.125,0,0,0,0,0,0,0,0,0,0,0,0,51.56,4.8,0,0,4.8,0.04075,46.76,3.674,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625
30/05/2025,17,7,6,1,7,6,1,7,1,12.89,6,0,0,0,0,1,1,1,12.89,12.89,12.89,12.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89,2.04,0,0,2.04,0.009314286,10.85,0.9348,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143
31/05/2025,17,9,6,3,9,6,3,9,3,38.67,6,0,0,0,0,3,3,3,38.67,38.67,38.67,38.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.67,3.72,0,0,3.72,0.021733333,34.95,2.8044,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333
01/06/2025,17,17,11,6,17,11,6,17,6,77.34,11,0,0,0,0,6,6,6,77.34,77.34,77.34,77.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.34,7.24,0,0,7.24,0.023011765,70.1,5.6088,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352941176
02/06/2025,17,11,3,8,11,3,8,11,8,103.12,3,0,0,0,0,8,8,8,103.12,103.12,103.12,103.12,25.78,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,2,0.181818182,25.78,0.181818182,77.34,7.32,0,0,7.32,0.047418182,70.02,5.4784,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727
03/06/2025,17,9,5,4,9,5,4,9,4,51.56,5,0,0,0,0,4,4,4,51.56,51.56,51.56,51.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.56,4.36,0,0,4.36,0.028977778,47.2,3.7392,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444
04/06/2025,17,15,10,5,15,10,5,15,5,64.45,10,0,0,0,0,5,5,5,64.45,64.45,64.45,64.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.45,6.2,0,0,6.2,0.021733333,58.25,4.674,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333
05/06/2025,17,20,12,8,20,12,8,20,8,103.12,12,0,0,0,0,8,8,8,103.12,103.12,103.12,103.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.12,9.12,0,0,9.12,0.028268421,94,7.4629,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394736842
06/06/2025,17,8,6,2,8,6,2,8,2,25.78,6,0,0,0,0,2,2,2,25.78,25.78,25.78,25.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.78,2.88,0,0,2.88,0.0163,22.9,1.8696,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
07/06/2025,17,32,19,13,32,19,13,32,13,167.57,19,0,0,0,0,13,13,13,167.57,167.57,167.57,167.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.57,14.72,0,0,14.72,0.0264875,152.85,12.1524,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40625
08/06/2025,17,18,8,10,18,8,10,18,10,128.9,8,0,0,0,0,10,10,10,128.9,128.9,128.9,128.9,12.89,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,1,0.055555556,12.89,0.055555556,116.01,10,0,0,10,0.036222222,106.01,8.348,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555555556
09/06/2025,17,11,5,6,11,5,6,11,6,77.34,5,0,0,0,0,6,6,6,77.34,77.34,77.34,77.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.34,6.04,0,0,6.04,0.035563636,71.3,5.6088,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.545454545
10/06/2025,17,5,2,3,5,2,3,5,3,38.67,2,0,0,0,0,3,3,3,38.67,38.67,38.67,38.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.67,2.92,0,0,2.92,0.03912,35.75,2.8044,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6
11/06/2025,17,5,2,3,5,2,3,5,3,38.67,2,0,0,0,0,3,3,3,38.67,38.67,38.67,38.67,12.89,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,12.89,0.2,25.78,2.92,0,0,2.92,0.03912,22.86,1.8044,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
12/06/2025,17,7,1,6,7,1,6,7,6,77.34,1,0,0,0,0,6,6,6,77.34,77.34,77.34,77.34,25.78,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,2,0.285714286,25.78,0.285714286,51.56,5.24,0,0,5.24,0.055885714,46.32,3.6088,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857
13/06/2025,17,9,3,6,9,3,6,9,6,77.34,3,0,0,0,0,6,6,6,77.34,77.34,77.34,77.34,12.89,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,1,0.111111111,12.89,0.111111111,64.45,5.64,0,0,5.64,0.043466667,58.81,4.6088,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667
14/06/2025,17,2,2,0,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.4,0,-0.4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/06/2025,17,14,7,7,14,7,7,14,7,90.23,7,0,0,0,0,7,7,7,90.23,90.23,90.23,90.23,25.78,0.153846154,0,0,0,0,0,0,0,0,0,0,0,0,2,0.153846154,25.78,0.153846154,64.45,7.28,0,0,7.28,0.0363,57.17,4.5281,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
16/06/2025,17,9,4,5,9,4,5,9,5,64.45,4,0,0,0,0,5,5,5,64.45,64.45,64.45,64.45,25.78,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,2,0.222222222,25.78,0.222222222,38.67,5,0,0,5,0.036222222,33.67,2.674,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555555556
17/06/2025,17,3,2,1,3,2,1,3,1,12.89,2,0,0,0,0,1,1,1,12.89,12.89,12.89,12.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89,1.24,0,0,1.24,0.021733333,11.65,0.9348,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333
18/06/2025,17,6,3,3,6,3,3,6,3,38.67,3,0,0,0,0,3,3,3,38.67,38.67,38.67,38.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.67,3.12,0,0,3.12,0.0326,35.55,2.8044,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
19/06/2025,17,14,9,5,14,9,5,14,5,64.45,9,0,0,0,0,5,5,5,64.45,64.45,64.45,64.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.45,6,0,0,6,0.023285714,58.45,4.674,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357142857
20/06/2025,17,8,5,3,8,5,3,8,3,38.67,5,0,0,0,0,3,3,3,38.67,38.67,38.67,38.67,12.89,0.125,0,0,0,0,0,0,0,0,0,0,0,0,1,0.125,12.89,0.125,25.78,3.52,0,0,3.52,0.02445,22.26,1.8044,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375
21/06/2025,17,9,6,3,9,6,3,9,3,38.67,6,0,0,0,0,3,3,3,38.67,38.67,38.67,38.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.67,3.72,0,0,3.72,0.021733333,34.95,2.8044,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333
22/06/2025,17,5,1,4,5,1,4,5,4,51.56,1,0,0,0,0,4,4,4,51.56,51.56,51.56,51.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.56,3.56,0,0,3.56,0.05216,48,3.7392,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
23/06/2025,17,9,1,8,9,1,8,9,8,103.12,1,0,0,0,0,8,8,8,103.12,103.12,103.12,103.12,38.67,0.333333333,0,0,0,0,0,0,0,0,1,0.111111111,12.89,0.111111111,2,0.222222222,25.78,0.222222222,64.45,41.92,35,0.3017,6.92,0.057955556,22.53,1.7632,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889
24/06/2025,17,13,6,7,13,6,7,13,7,90.23,6,0,0,0,0,7,7,7,90.23,90.23,90.23,90.23,38.67,0.230769231,0,0,0,0,0,0,0,0,0,0,0,0,3,0.230769231,38.67,0.230769231,51.56,7.08,0,0,7.08,0.035107692,44.48,3.5436,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538461538
25/06/2025,17,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,-0.2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26/06/2025,17,17,9,8,17,9,8,17,8,103.12,9,0,0,0,0,8,8,8,103.12,103.12,103.12,103.12,12.89,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,1,0.058823529,12.89,0.058823529,90.23,8.52,0,0,8.52,0.030682353,81.71,6.4784,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470588235
27/06/2025,17,11,9,2,11,9,2,11,2,25.78,9,0,0,0,0,2,2,2,25.78,25.78,25.78,25.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.78,3.48,0,0,3.48,0.011854545,22.3,1.8696,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182
02/07/2025,17,13,7,6,13,7,6,13,6,77.34,7,0,0,0,0,6,6,6,77.34,77.34,77.34,77.34,12.89,0.076923077,0,0,0,0,0,0,0,0,1,0.076923077,12.89,0.076923077,0,0,0,0,64.45,41.44,35,0.208869231,6.44,0.030092308,23.01,1.8936,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461538462
03/07/2025,17,2,1,1,2,1,1,2,1,12.89,1,0,0,0,0,1,1,1,12.89,12.89,12.89,12.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89,1.04,0,0,1.04,0.0326,11.85,0.9348,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5
04/07/2025,17,5,1,4,5,1,4,5,4,51.56,1,0,0,0,0,4,4,4,51.56,51.56,51.56,51.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.56,3.56,0,0,3.56,0.05216,48,3.7392,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8
05/07/2025,17,16,7,9,16,7,9,16,9,116.01,7,0,0,0,0,9,9,9,116.01,116.01,116.01,116.01,12.89,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0625,12.89,0.0625,103.12,8.96,0,0,8.96,0.036675,94.16,7.4132,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5625
